"zone","state","lga","sector","ea","hhid","s11aq1","s11aq2"
4,1,115,1,670,10001,,
4,1,115,1,670,10002,,
4,1,115,1,670,10003,,
4,1,115,1,670,10004,,
4,1,115,1,670,10005,,
4,1,115,1,0,10006,,
4,1,115,1,670,10008,,
4,1,105,2,0,10009,1,2
4,1,115,1,670,10010,,
4,1,104,2,1364,10011,1,2
4,1,104,2,1364,10012,1,2
4,1,104,2,1364,10013,1,1
4,1,104,2,1364,10014,,
4,1,104,2,0,10015,1,2
4,1,104,2,1364,10016,1,2
4,1,104,2,1364,10017,1,2
4,1,104,2,1364,10018,1,2
4,1,104,2,1364,10019,1,1
4,1,106,2,880,10021,1,1
4,1,106,2,880,10022,1,1
4,1,106,2,880,10023,1,2
4,1,106,2,880,10024,1,1
4,1,106,2,880,10025,1,1
4,1,106,2,880,10027,1,2
4,1,106,2,880,10028,,
4,1,106,2,880,10029,1,1
4,1,106,2,880,10030,1,1
4,1,111,1,1146,10031,,
4,1,111,1,1146,10032,,
4,1,111,1,1146,10033,1,2
4,1,111,1,1146,10034,,
4,1,111,1,1146,10035,,
4,1,111,1,1146,10036,,
4,1,111,1,1146,10037,,
4,1,111,1,1146,10038,,
4,4,410,2,0,10039,,
4,1,111,1,1146,10040,,
4,1,102,1,536,10041,,
6,24,2418,1,0,10042,,
4,1,102,1,536,10043,,
4,1,102,1,536,10044,,
4,1,102,1,536,10045,,
4,1,102,1,536,10046,,
4,1,102,1,536,10047,,
4,1,102,1,536,10048,,
4,1,102,1,536,10049,,
4,1,102,1,536,10050,,
4,1,102,1,1690,10051,,
4,1,102,1,1690,10052,,
4,1,102,1,1690,10053,,
4,1,102,1,1690,10054,,
4,1,102,1,1690,10055,,
4,1,102,1,1690,10056,,
4,1,102,1,1690,10057,1,2
4,1,102,1,1690,10058,,
4,1,102,1,1690,10059,,
4,1,102,1,1690,10060,,
4,1,107,2,1044,10061,1,2
4,1,107,2,1044,10062,1,2
4,1,107,2,1044,10063,1,2
4,1,107,2,1044,10064,1,2
4,1,102,1,0,10065,1,2
4,1,107,2,1044,10066,1,1
4,1,107,2,1044,10067,1,1
4,1,107,2,1044,10068,1,1
4,1,107,2,1044,10069,1,2
4,1,107,2,0,10070,1,2
4,1,117,2,560,10071,1,1
4,1,117,2,560,10072,1,1
4,1,117,2,560,10073,1,2
4,1,117,2,560,10074,1,2
4,1,117,2,560,10075,1,1
4,1,117,2,560,10076,2,1
4,1,117,2,560,10077,1,1
4,1,117,2,560,10078,1,2
4,1,117,2,560,10079,1,2
4,1,117,2,560,10080,1,1
4,1,110,2,76,10081,1,2
4,1,110,2,76,10082,1,2
4,1,110,1,0,10083,,
4,1,110,2,76,10084,,
4,1,110,2,76,10085,1,2
4,1,110,2,76,10086,1,1
4,1,110,2,76,10087,1,1
4,1,110,2,76,10088,1,1
4,1,110,2,76,10089,1,1
4,1,105,2,638,10091,1,2
4,1,105,2,638,10092,1,2
5,3,322,2,0,10093,1,2
4,1,105,2,638,10094,1,2
4,1,105,2,638,10096,1,1
4,1,105,2,638,10097,1,2
4,1,105,2,638,10098,,
4,1,105,2,638,10099,1,1
4,1,105,2,638,10100,1,2
4,1,108,2,904,10102,1,1
4,1,108,2,904,10103,1,1
4,1,108,2,904,10104,1,2
4,1,108,2,904,10105,1,2
4,1,108,2,904,10106,1,2
4,1,108,2,904,10107,2,1
4,1,108,2,904,10108,1,1
4,1,108,2,904,10109,1,2
4,1,108,2,904,10110,1,2
2,2,209,2,1040,20001,1,2
2,2,209,2,1040,20002,1,1
2,34,3401,2,0,20003,1,2
2,2,209,2,0,20004,1,2
2,2,209,2,1040,20005,1,2
2,2,209,2,1040,20006,1,2
2,2,209,2,1040,20007,1,2
2,2,209,2,1040,20008,1,2
2,2,209,2,1040,20009,1,2
2,2,209,2,1040,20010,1,2
2,34,3416,2,0,20011,1,2
2,2,221,2,18,20012,1,2
2,2,221,2,18,20013,1,2
2,2,221,2,18,20014,1,2
2,2,221,2,18,20015,1,2
2,2,221,2,18,20016,1,2
2,2,221,2,18,20017,1,2
2,2,221,2,18,20018,1,2
2,2,221,2,18,20019,1,2
2,2,221,2,18,20020,1,1
2,2,201,2,60,20021,1,2
2,2,201,2,60,20022,1,2
2,2,201,2,60,20023,1,2
2,2,201,2,60,20024,1,2
2,2,201,2,60,20025,1,2
2,2,201,2,60,20026,1,2
